Height (in),Recommended Deck Size,Deck Name,Shoe Size
54,"7.25 - 7.75","Element Magma Section 7.375","3 - 9"
55,"7.25 - 7.75","Element Dispersion 7.5","3 - 9"
56,"7.25 - 7.75","Tetrisâ„¢ x BRAILLE Skateboard 7.5","3 - 9"
57,"7.25 - 7.75","Element Quadrant 7.5","3 - 9"
58,"7.25 - 7.75","Mini Logo Chevron White 7.75","3 - 9"
59,"7.25 - 7.75","Braille Reimagined Classics: Midnight ""b"" 7.75","3 - 9"
60,"7.25 - 7.75","Foundation Adventure 7.75","3 - 9"
61,"7.75 - 8.00","Braille Classic B Circle 7.75","9 - 11"
62,"7.75 - 8.00","Alltimers Alexis Bugs Life 7.75","9 - 11"
63,"7.75 - 8.00","Blackout Flora 7.75","9 - 11"
64,"7.75 - 8.00","Braille Black & Green ""b"" Deck 8","9 - 11"
65,"7.75 - 8.00","Ricky's Braille Pro Model 8","9 - 11"
66,"8.00 - 8.50","Braille Ninja Star 8","11 - 15"
67,"8.00 - 8.50","Braille Reimagined Classics: Bay Blue 8.125","11 - 15"
68,"8.00 - 8.50","DGK Guadalupe UV 8.25"" Skateboard Deck","11 - 15"
69,"8.00 - 8.50","Baker Zach Continuum 8.38","11 - 15"
70,"8.00 - 8.50","Anti-Hero Russo Pigeon Religion 8.38","11 - 15"
71,"8.00 - 8.50","Krooked Cromer Air 8.38","11 - 15"
72,"8.00 - 8.50","Baker T-Funk Undead 8.475","11 - 15"
73,"8.00 - 8.50","Elenex Mercy Rose Silver Foil 8.5","11 - 15"
74,"8.00 - 8.50","Sk8mafia Turner Balance 8.5","11 - 15"
